Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Pakistan,Price / Pakistan,Compare At Price / Pakistan,Included / International,Price / International,Compare At Price / International,Status
zahra-shahjahan-3pc-lawn-embroidered-shirt-with-diamond-print-dupatta-rare-2849,Rare 3Pc Lawn Embroidered Shirt With Diamond Print Dupatta-1264,"<p>Elevate your style with our exquisite Lawn Embroidered Shirt, meticulously crafted with intricate details that capture the essence of Pakistani fashion trends. The delicate embroidery on the sleeves adds a touch of elegance, while the Diamond Print Dupatta exudes sophistication. The luxurious Lawn fabric, adorned with beautiful embroidery on the back and trousers, ensures a premium look that is perfect for special events and occasions. Embrace the essence of Pakistani fashion with this stunning ensemble that combines traditional craftsmanship with contemporary style.</p>",Brands Inn,Uncategorized,cloth,"3PC, Bridal & Beyond, DIAMOND, DUPATTA-1264, EMBROIDERED, LAWN, Organza, PRINT, RARE, SHIRT, Summer New Arrival, WITH",true,Title,Default Title,,,,,,,,,0.0,,-14,deny,manual,4199.00,10000.00,true,false,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/SHAAM-D5_1800x1800_228bc363-f66a-4e5e-8695-ae35c2742b30.jpg?v=1738326048,1,RARE 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1264 Price in Pakistan.,false,"""Exquisite 3PC Lawn Embroidered Shirt Set with Diamond Print Dupatta - Style 1264""",Elevate your style with our exquisite RARE 3PC lawn embroidered shirt paired with a stunning diamond print dupatta. Embrace the latest Pakistani trends with this unique ensemble. Shop now and stand out with elegance and sophistication!,,,,,,,,,,,,,,kg,,,true,,,true,,,active
zahra-shahjahan-3pc-lawn-embroidered-shirt-with-diamond-print-dupatta-rare-2849,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/SHAAM-D5a_1800x1800_c0b6e42e-c7c9-4db2-9b7c-87d9e44cbc2d.jpg?v=1738326048,2,RARE 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1264 Price in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,
zahra-shahjahan-3pc-lawn-embroidered-shirt-with-diamond-print-dupatta-rare-2849,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/SHAAM-D5c_1800x1800_96a9f715-ca80-46fb-89d5-e99edb454ddc.jpg?v=1738326049,3,RARE 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1264 Price in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,
zahra-shahjahan-3pc-lawn-embroidered-shirt-with-diamond-print-dupatta-rare-2849,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/SHAAM-D5b_1800x1800_1.jpg?v=1738326049,4,RARE 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1264 Price in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,
zahra-shahjahan-3pc-lawn-embroidered-shirt-with-diamond-print-dupatta-bic-2851,Rare- 3Pc Dhanak Embroidered Shirt With Diamond Print Dupatta-Rare-1265,"<p>Indulge in the essence of Pakistani elegance with our exquisite Lawn Embroidered Shirt. Crafted from premium quality fabric, this shirt features intricate embroidery that reflects the latest trends in Pakistani fashion. Elevate your style with the Lawn Embroidered Sleeves that add a touch of sophistication.</p>

<p>Complete your ensemble with the Diamond Print Dupatta, a luxurious accessory that exudes grace and charm. The back of the shirt is adorned with delicate Lawn Embroidery, adding a unique flair to your look. Pair it with the matching Lawn Embroidered Trouser for a cohesive and fashionable outfit.</p>

<p>Perfect for special events and gatherings, this ensemble captures the essence of traditional Pakistani style with a modern twist. Embrace the beauty of fine craftsmanship and make a statement</p>",RARE STORE,Apparel & Accessories > Clothing,cloth,"3PC, Brandsinn Design, Designer Picks, Dhanak, DIAMOND, DUPATTA-RARE-1265, EMBROIDERED, PRINT, RARE-, SHIRT, Summer New Arrival, WITH",true,Title,Default Title,,,,,,,,,0.0,,-12,deny,manual,4199.00,6000.00,true,false,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/ZAIRA-9A_1800x1800_ed783dfc-c529-4e00-a0cf-e61a92688a23.jpg?v=1738326050,1,RARE- 3PC Dhanak EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-RARE-1265 Price in Pakistan.,false,"""Exquisite RARE 3PC Dhanak Embroidered Shirt Set with Diamond Print Dupatta - Style RARE-1265""",Elevate your wardrobe with the exquisite RARE 3PC Dhanak embroidered shirt paired with a stunning diamond print dupatta - a must-have for fashion-forward individuals embracing Pakistani trends. Shop now for a touch of elegance and sophistication.,1604,,,,,,,,,,,,,kg,,,true,,,true,,,active
zahra-shahjahan-3pc-lawn-embroidered-shirt-with-diamond-print-dupatta-bic-2851,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/ZAIRA-9Aa_1800x1800_3239e4e3-f13a-42a4-a5c7-e0cc5ecbd665.jpg?v=1738326050,2,RARE- 3PC Dhanak EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-RARE-1265 Price in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,
zahra-shahjahan-3pc-lawn-embroidered-shirt-with-diamond-print-dupatta-bic-2851,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/ZAIRA-9Ab_1800x1800_f131c1f1-ffa2-43d3-ac94-d1018f24d260.jpg?v=1738326050,3,RARE- 3PC Dhanak EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-RARE-1265 Price in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,
zahra-shahjahan-3pc-lawn-embroidered-shirt-with-diamond-print-dupatta-bic-2851,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/ZAIRA-9Ac_1800x1800_a7406b39-1821-4c6b-a178-347c597cfb84.jpg?v=1738326050,4,RARE- 3PC Dhanak EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-RARE-1265 Price in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,
zahra-shahjahan-3pc-lawn-embroidered-shirt-with-diamond-print-dupatta-bic-2852,Rare- 3Pc Lawn Embroidered Shirt With Diamond Print Dupatta-1267,"<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Lawn Embroidered Shirt</li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Lawn Embroidered Sleevs</span></li>
<li data-mce-fragment=""1"">Diamond Print<span data-mce-fragment=""1""> </span>Dupatta</li>
<li data-mce-fragment=""1"">Lawn<span> </span><span data-mce-fragment=""1"">Embroidered</span><span> </span>Back </li>
<li data-mce-fragment=""1"">Lawn<span> </span><span data-mce-fragment=""1"">Embroidered </span>Trouser</li>
</ul>
<!----> This rare- 3pc lawn embroidered shirt with diamond print dupatta-1267 is a timeless addition to your wardrobe. It features exquisite embroidery and high-quality fabrics, perfect for both casual and formal wear.",RARE STORE,Apparel & Accessories > Clothing,cloth,"3PC, Brandsinn Design, DIAMOND, DUPATTA-1267, EMBROIDERED, LAWN, Organza, PRINT, RARE-, Seasonal Favorites, SHIRT, WITH",true,Title,Default Title,,,,,,,,,0.0,,-5,deny,manual,4199.00,8000.00,true,false,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/MIREA-3Bc_1800x1800_97a7efe3-cd61-4dce-a456-5374758f4c3d.jpg?v=1738326052,1,RARE- 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1267 Price in Pakistan.,false,"""RARE 3-Piece Lawn Embroidered Shirt with Diamond Print Dupatta - Style 1267 | Shop Now!""","Discover the latest RARE- 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1267 for every occasion. Stylish, premium-quality Pakistani outfits available now!",1604,,,,,,,,,,,,,kg,,,true,,,true,,,active
zahra-shahjahan-3pc-lawn-embroidered-shirt-with-diamond-print-dupatta-bic-2852,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/MIREA-3Ba_1800x1800_91c17d34-e55a-4fca-8ae2-9b96fbc77d4e.jpg?v=1738326052,2,RARE- 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1267 Price in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,
